"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"xserver_xorg-server","21.1.11","MIT","COPYING","xorg-server-21.1.11.tar.gz","https://xorg.freedesktop.org/archive/individual/xserver","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libdrm [MIT] libopenssl [Apache-2.0] libpciaccess [MIT] libpng [Libpng-2.0] libpthread-stubs [MIT] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] mcookie [Public Domain] pixman [MIT] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xdata_xbitmaps [MIT] xfont_encodings [Public Domain] xkeyboard-config [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXcursor [MIT] xlib_libXdamage [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXfont2 [MIT] xlib_libXft [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_libXres [MIT] xlib_libXxf86vm [MIT] xlib_libfontenc [MIT] xlib_libxcvt [MIT] xlib_libxkbfile [MIT] xlib_libxshmfence [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xkeyboard-config","2.38","MIT","COPYING","xkeyboard-config-2.38.tar.xz","https://www.x.org/releases/individual/data/xkeyboard-config","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xlib_libXcursor","1.2.1","MIT","COPYING","libXcursor-1.2.1.tar.xz","http://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXfixes [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXdamage","1.1.6","MIT","COPYING","libXdamage-1.1.6.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXfixes [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXfont2","2.0.6","MIT","COPYING","libXfont2-2.0.6.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xfont_encodings [Public Domain] xlib_libfontenc [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xfont_encodings","1.0.7","Public Domain","COPYING","encodings-1.0.7.tar.xz","https://xorg.freedesktop.org/archive/individual/font","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xutil_util-macros [MIT]"
"xlib_libfontenc","1.1.7","MIT","COPYING","libfontenc-1.1.7.tar.xz","http://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xorgproto [MIT]"
"xlib_libXres","1.2.2","MIT","COPYING","libXres-1.2.2.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXxf86vm","1.1.5","MIT","COPYING","libXxf86vm-1.1.5.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libxcvt","0.1.2","MIT","COPYING","libxcvt-0.1.2.tar.xz","https://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xlib_libxshmfence","1.3.2","MIT","COPYING","libxshmfence-1.3.2.tar.xz","http://xorg.freedesktop.org/releases/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xorgproto [MIT]"
"xdriver_xf86-input-mouse","1.9.5","MIT","COPYING","xf86-input-mouse-1.9.5.tar.xz","https://xorg.freedesktop.org/archive/individual/driver","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libdrm [MIT] libopenssl [Apache-2.0] libpciaccess [MIT] libpng [Libpng-2.0] libpthread-stubs [MIT] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] mcookie [Public Domain] pixman [MIT] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xdata_xbitmaps [MIT] xfont_encodings [Public Domain] xkeyboard-config [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXcursor [MIT] xlib_libXdamage [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXfont2 [MIT] xlib_libXft [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_libXres [MIT] xlib_libXxf86vm [MIT] xlib_libfontenc [MIT] xlib_libxcvt [MIT] xlib_libxkbfile [MIT] xlib_libxshmfence [MIT] xlib_xtrans [MIT] xorgproto [MIT] xserver_xorg-server [MIT] xutil_util-macros [MIT]"
"xdriver_xf86-video-cirrus","1.6.0","MIT","COPYING","xf86-video-cirrus-1.6.0.tar.xz","https://xorg.freedesktop.org/releases/individual/driver","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libdrm [MIT] libopenssl [Apache-2.0] libpciaccess [MIT] libpng [Libpng-2.0] libpthread-stubs [MIT] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] mcookie [Public Domain] pixman [MIT] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xdata_xbitmaps [MIT] xfont_encodings [Public Domain] xkeyboard-config [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXcursor [MIT] xlib_libXdamage [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXfont2 [MIT] xlib_libXft [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_libXres [MIT] xlib_libXxf86vm [MIT] xlib_libfontenc [MIT] xlib_libxcvt [MIT] xlib_libxkbfile [MIT] xlib_libxshmfence [MIT] xlib_xtrans [MIT] xorgproto [MIT] xserver_xorg-server [MIT] xutil_util-macros [MIT]"
"xdriver_xf86-video-fbdev","0.5.0","MIT","COPYING","xf86-video-fbdev-0.5.0.tar.bz2","http://xorg.freedesktop.org/releases/individual/driver","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libdrm [MIT] libopenssl [Apache-2.0] libpciaccess [MIT] libpng [Libpng-2.0] libpthread-stubs [MIT] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] mcookie [Public Domain] pixman [MIT] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xdata_xbitmaps [MIT] xfont_encodings [Public Domain] xkeyboard-config [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXcursor [MIT] xlib_libXdamage [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXfont2 [MIT] xlib_libXft [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_libXres [MIT] xlib_libXxf86vm [MIT] xlib_libfontenc [MIT] xlib_libxcvt [MIT] xlib_libxkbfile [MIT] xlib_libxshmfence [MIT] xlib_xtrans [MIT] xorgproto [MIT] xserver_xorg-server [MIT] xutil_util-macros [MIT]"
"xdriver_xf86-video-fbturbo","0.4.0","MIT","COPYING","xdriver_xf86-video-fbturbo-0.4.0.tar.gz","https://github.com/ssvb/xf86-video-fbturbo/archive/0.4.0","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libdrm [MIT] libopenssl [Apache-2.0] libpciaccess [MIT] libpng [Libpng-2.0] libpthread-stubs [MIT] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] mcookie [Public Domain] pixman [MIT] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xdata_xbitmaps [MIT] xfont_encodings [Public Domain] xkeyboard-config [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXcursor [MIT] xlib_libXdamage [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXfont2 [MIT] xlib_libXft [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_libXres [MIT] xlib_libXxf86vm [MIT] xlib_libfontenc [MIT] xlib_libxcvt [MIT] xlib_libxkbfile [MIT] xlib_libxshmfence [MIT] xlib_xtrans [MIT] xorgproto [MIT] xserver_xorg-server [MIT] xutil_util-macros [MIT]"
"xdriver_xf86-video-vesa","2.6.0","MIT","COPYING","xf86-video-vesa-2.6.0.tar.xz","https://xorg.freedesktop.org/archive/individual/driver","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libdrm [MIT] libopenssl [Apache-2.0] libpciaccess [MIT] libpng [Libpng-2.0] libpthread-stubs [MIT] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] mcookie [Public Domain] pixman [MIT] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xdata_xbitmaps [MIT] xfont_encodings [Public Domain] xkeyboard-config [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXcursor [MIT] xlib_libXdamage [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXfont2 [MIT] xlib_libXft [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_libXres [MIT] xlib_libXxf86vm [MIT] xlib_libfontenc [MIT] xlib_libxcvt [MIT] xlib_libxkbfile [MIT] xlib_libxshmfence [MIT] xlib_xtrans [MIT] xorgproto [MIT] xserver_xorg-server [MIT] xutil_util-macros [MIT]"
"xfont_font-alias","1.0.5","MIT","COPYING","font-alias-1.0.5.tar.xz","https://xorg.freedesktop.org/archive/individual/font","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xfont_font-util [MIT/BSD-2-Clause]"
"xfont_font-util","1.4.0","MIT/BSD-2-Clause","COPYING","font-util-1.4.0.tar.xz","https://xorg.freedesktop.org/archive/individual/font","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"xfont_font-cursor-misc","1.0.4","unencumbered","COPYING","font-cursor-misc-1.0.4.tar.xz","https://xorg.freedesktop.org/archive/individual/font","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xfont_font-util [MIT/BSD-2-Clause]"
"xfont_font-misc-misc","1.1.3","Public Domain","COPYING","font-misc-misc-1.1.3.tar.xz","https://xorg.freedesktop.org/archive/individual/font","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xfont_font-util [MIT/BSD-2-Clause]"
"xlib_libXfont","1.5.4","MIT","COPYING","libXfont-1.5.4.tar.bz2","http://xorg.freedesktop.org/releases/individual/lib","freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xlib_libfontenc [MIT] xlib_xtrans [MIT] xorgproto [MIT]"
"xterm","389","MIT","COPYING","xterm-389.tgz","http://invisible-mirror.net/archives/xterm","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-systemd [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXaw [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXinerama [MIT] xlib_libXmu [MIT] xlib_libXpm [MIT] xlib_libXrender [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
